"Date";"Time";"Programme";"MLCourse";"IRCourse";"StatCourse";"DBCourse";"Gender";"Chocolate";"Birthdate";"Neighbours";"Stresslevel";"Reward";"RandomNo";"Bedtime";"Goodday1";"Goodday2";"gd1";"gd2";"finalgd"
2021-03-16;14H 37M 20S;"Other";1;0;1;1;1;3;1996;2;85;50;8;22;"Having completed a set task.";"Happy people";"Goals";"Social";"Goals"
2021-03-24;17H 28M 48S;"AI";0;0;0;0;1;2;1996;0;0;100;3;22;"Coffee";"Sun";"F&B";"Weather";"F&B"
2021-03-25;12H 31M 29S;"Other";0;0;1;0;1;1;1997;4;40;5;33;0;"Be Happy";"Having a very productive day";"Other";"Goals";"Goals"
2021-03-25;15H 56M 30S;"CS";0;1;1;1;1;2;1999;0;42;5;7;23;"If you give me a 10";"If you give my team a 10";"Other";"Other";"Other"
2021-03-25;17H 41M 4S;"AI";1;0;1;1;-1;3;1998;1;20;50;4;2;"nice weather";"having good food";"Weather";"F&B";"Weather"
2021-03-26;11H 31M 46S;"Other";0;1;0;1;1;3;1995;0;20;30;5;23;"weather";"free day";"Weather";"Resting";"Weather"
2021-03-26;13H 59M 32S;"FIN";1;0;1;0;1;1;1997;0;20;0;7;1;"Classical music";"Data mining :-P";"Resting";"Other";"Resting"
2021-03-26;14H 30M 47S;"CS";0;0;0;0;1;3;1996;0;20;100;7;0;"Making progress in a tough course";"Watching the game, smoking some bud";"Goals";"Other";"Goals"
2021-03-26;15H 31M 8S;"AI";0;0;1;1;1;3;1997;0;99;1;6;1;"Drum";"Bass";"Other";"Other";"Other"
2021-03-26;22H 29M 30S;"AI";0;0;1;1;1;3;1996;1;50;2;4;1;"Meeting a friend";"Being productive";"Social";"Goals";"Social"
2021-03-26;23H 46M 34S;"CS";0;0;1;0;1;1;1996;2;90;30;7;1;"Good coffe";"Get motivated";"F&B";"Goals";"F&B"
2021-03-27;16H 2M 34S;"AI";1;0;1;0;1;1;1998;3;60;5;7;1;"Start studying early";"Finishing everything that I proposed for that day";"Goals";"Goals";"Goals"
2021-03-27;19H 31M 57S;"CS";0;1;1;0;1;3;1977;4;75;100;7;0;"feel of achievement";"go out, talk to people";"Other";"Social";"Social"
2021-03-27;20H 59M 51S;"BIO";1;0;1;0;-1;3;1997;0;50;100;7;2;"relaxing and chill schedule";"nice weather";"Resting";"Weather";"Resting"
2021-03-27;21H 19M 34S;"Other";1;0;1;0;-1;3;1998;2;20;5;23;2;"sunny wheather outside";"coronavirus restrictions lifted";"Weather";"Social";"Weather"
2021-03-28;10H 27M 38S;"AI";1;0;1;1;-1;1;1997;0;10;100;7;23;"Socialize a bit";"Tidy environment";"Social";"Other";"Social"
2021-03-28;10H 58M 31S;"CS";0;0;1;0;-1;1;1996;0;0;50;8;0;"get up";"food";"Goals";"F&B";"Goals"
2021-03-28;11H 22M 44S;"AI";0;0;1;0;-1;3;1966;0;70;5;7;23;"nice weather";"surprising things happen";"Weather";"Other";"Weather"
2021-03-28;12H 40M 57S;"FIN";1;0;1;1;1;4;1996;0;77;2,5;7;5;"Food";"Beer";"F&B";"F&B";"F&B"
2021-03-28;20H 21M 27S;"BUS";1;1;1;1;1;4;1998;0;10;10;14;23;"No stress";"Doing sports";"Resting";"Goals";"Resting"
2021-03-28;21H 38M 59S;"AI";1;NA;1;0;-1;3;1995;0;40;12;4;23;"food";"sleep";"F&B";"Resting";"F&B"
2021-03-28;23H 23M 22S;"CS";0;0;1;1;1;4;1996;5;7;8;7;23;"Sleeping to a good movie";"Food";"Resting";"F&B";"Resting"
