What programme are you in?,Class
Master Tax Law - Tax and Technology,Other
AI,AI
DMT,Other
CS,CS
AI,AI
system security,Other
Quantitative Risk Management,FIN 
Computational Science,CS
AI,AI
AI,AI
Computational Science,CS
AI,AI
big data engineering ,Other
MSc in Bioinformatics and Systems Biology,BIO
Human Language Technology,Other
Artificial Intelligence,AI
computational science,CS
MSc Artificial Intelligence,AI
QRM,FIN 
Master Business Analytics,BUS
Msc Artificial Intelligence,AI
Computational Science,CS
cs,CS
Computational Science,CS
CS,CS
AI Masters,AI
Linguistics: Text Mining,Other
Bioinformatics and Systems Biology,BIO
BA,BUS
Master Bioinformatics & Systems Biology,BIO
Master in Computational Science,CS
Python,Other
Msc Econometrics and Operations Research,ECO
Computational science,CS
Computational Science,CS
Computational Science,CS
rMA Human Language Technology,Other
Human Language Technology (Research Master Linguistics),Other
Econometrics and Operations Research,ECO
Econometrics & Data Science,ECO
MSc Artificial Intelligence,AI
Econometrics and Operation Research,ECO
Econometrics & Operations Research,ECO
QRM,FIN 
MSc Artificial Intelligence @UvA,AI
Business Analytics,BUS
Artificial Intelligence,AI
CS,CS
Linguistics Text Mining ,Other
Econometrics,ECO
EDS,ECO
Econometrics,ECO
AI,AI
AI,AI
AI,AI
BA,BUS
Finance & Technology,FIN 
Bioinformatics and Systems Biology,BIO
Master Artificial Intelligence,AI
Quantitative Risk Management ,FIN 
Quantitative Risk Management ,FIN 
Econometrics & Operation Research master,ECO
QRM,FIN 
CS,CS
M AI,AI
OR,ECO
Master Bioinformatics & Systems Biology,BIO
Finance and technology,FIN 
BA,BUS
Econometrics & Operations Research,ECO
Climate econometrics,ECO
CS,CS
Duisenberg Honours: QRM,FIN 
BA,BUS
AI,AI
Medical Informatics,Other
Master Artificial Intelligence,AI
Business analytics ,BUS
Mathematics,Other
Business Analytics,BUS
BA,BUS
Research Masters Human Language Technology,Other
BA,BUS
Finance and Technology,FIN 
Artificial intelligence,AI
BA,BUS
Computational Sciences,CS
Econometrics and data science ,ECO
Master in Computational Science,CS
BA,BUS
AI,AI
Computational Science,CS
Artificial intelligence,AI
Computational Science,CS
AI,AI
Msc AI,AI
AI,AI
ai,AI
Artificial Intelligence MSc,AI
BA,BUS
AI,AI
QRM,FIN 
Msc. Finance and Technology,FIN 
Business Analytics,BUS
Econometrics,ECO
CS,CS
bioinformatics and system biology,BIO
QRM,FIN 
Bioinformatics and Systems Biology,BIO
CS,CS
Research Master Human Movement Sciences (FGB),Other
computational science,CS
Mathematics,Other
BA,BUS
Master Artificial Intelligence,AI
CS,CS
Master Finance & Technology,FIN 
Artificial Intelligence,AI
Master Information Studies UvA,CS
Medical Informatics,Other
Econometrics ,ECO
MSc Artificial Intelligence,AI
AI,AI
CS,CS
Msc Computer Science,CS
Honours master F&T,FIN 
CS,CS
Duisenberg Honours Programme in Finance and Technology,FIN 
Master bioinformatics and systems biology,BIO
Business Analytics ,BUS
Business Analytics,BUS
Business Analytics,BUS
CLS,Other
Master Artificial Intelligence,AI
AI,AI
CS,CS
AI,AI
Econometrics ,ECO
Computer Science,CS
AI,AI
Business Administration,BUS
Artificial Intelligence Masters,AI
Msc AI,AI
"RM AI, RM Cognitive Neuropsychology",AI
RMA Human Language Technology,Other
BA,BUS
Bioinformatics,BIO
Computational Sciences ,CS
MSc Stochastics and Financial Mathematics,FIN 
AI (uva),AI
Computational Science,CS
MSc AI,AI
AI,AI
AI,AI
Econometrics ,ECO
Econometrics and data science,ECO
Masters of Artificial Intelligence,AI
Master Artificial Intelligence: Cognitive Sciences ,AI
Artificial Intelligence,AI
Data science,CS
CS,CS
M Information Sciences,CS
Business Analytics,BUS
AI,AI
Computational Science,CS
AI,AI
Artificial Intelligence,AI
AI,AI
BA,BUS
MSc Econometrics and Operation Research,ECO
AI,AI
Information sciences,CS
Information Studies (Data Science) @ UvA,CS
Computer Science,CS
AI,AI
Econometrics and Operations Research ,ECO
Bioinfromatics,BIO
Econometrics and Operations Research ,ECO
AI,AI
E&OR,ECO
CLS,Other
Econometrics & Data Science,ECO
Bioinformatics & Systems biology,BIO
Computational Science,CS
"Management, Policy-Analysis and Entrepreneurship in Health & Life sciences",Other
Econometrics,ECO
Computer Science,CS
Finance and Technology,FIN 
AI,AI
Computational Science,CS
Computational Science,CS
computational science,CS
EOR,ECO
Computational Science UvA/VU,CS
Bioinformatics,BIO
AI,AI
Computational Science,CS
MSc Bioinformatics & Systems Biology,BIO
Computational Science,CS
